ID,Imie,Nazwisko,P³eæ,Data urodzenia,Adres
269,Aurelia,Igras,kobieta,1999-03-26,al. Jana Paw³a II 20 25-066 Rzeszów
270,Kalina,Kargol,kobieta,1994-05-15,al. Odrzañska 272 43-288 Gdynia
271,Kornelia,Lisak,kobieta,2000-05-13,ulica Hallera 11/12 54-905 Kalisz
272,Fryderyk,Dulewicz,mê¿czyzna,2001-02-25,aleja Jasna 473 34-082 Nysa
273,Kamila,Ko³sut,kobieta,2004-01-02,aleja Chmielna 159 27-726 Luboñ
274,Bianka,Gryska,kobieta,1997-06-26,al. Bukowa 23 47-066 Krotoszyn
275,Patryk,Zysk,mê¿czyzna,1995-09-11,pl. B³êkitna 98/47 03-847 ¯ary
276,Bruno,S³yk,mê¿czyzna,1985-08-20,plac Korfantego 630 78-738 Pabianice
277,Kornel,Babiuch,mê¿czyzna,1992-01-09,aleja Kielecka 15/48 92-973 Ciechanów
278,Oliwier,Front,mê¿czyzna,1994-01-25,pl. Browarna 27 58-446 Mielec
279,Konrad,Dyda,mê¿czyzna,1999-04-07,ulica Krakowska 83/37 82-630 Czechowice-Dziedzice
280,Fryderyk,Patyna,mê¿czyzna,1999-02-22,aleja Piwna 941 41-156 Nysa
281,Dominik,Matula,mê¿czyzna,1990-10-03,ulica Wolnoœci 88 36-483 Olkusz
282,Wiktor,Walenciak,mê¿czyzna,1986-03-19,plac Czereœniowa 97 56-904 Kalisz
283,Monika,Mudlaff,kobieta,1990-01-25,al. Myœliwska 084 95-095 £aziska Górne
284,Kornelia,Fugiel,kobieta,1989-02-10,plac Pi³sudskiego 68/05 82-862 Pu³awy
285,Przemys³aw,Zaniewicz,mê¿czyzna,2001-07-28,ul. Podgórna 14 53-053 £om¿a
286,Aurelia,D¹broœ,kobieta,1990-02-17,aleja M³yñska 343 96-539 Bêdzin
287,Anastazja,Jêdrzejek,kobieta,1998-04-21,pl. Konwaliowa 14/02 10-301 Pruszków
288,Bianka,Sz³apa,kobieta,1984-06-15,ulica Zwyciêstwa 51 14-473 ¯ory
289,Fryderyk,Fr¹cz,mê¿czyzna,1995-08-20,ul. Poznañska 97 13-109 Racibórz
290,Leon,Zach,mê¿czyzna,1982-12-20,aleja Kusociñskiego 013 86-138 Czêstochowa
291,El¿bieta,Bittner,kobieta,2001-06-01,pl. Reymonta 23/20 10-213 W³oc³awek
292,Aniela,Dawidczyk,kobieta,2003-05-09,plac Niepodleg³oœci 75/42 61-586 Tarnobrzeg
293,Natasza,Burchardt,kobieta,1984-04-22,pl. ¯wirowa 501 36-678 Sieradz
294,Karol,Kolanek,mê¿czyzna,2004-06-21,ulica Bydgoska 91/48 72-588 Szczytno
295,Kacper,Duchnik,mê¿czyzna,1989-10-25,pl. Górna 741 94-488 G³ogów
296,Artur,BrzeŸniak,mê¿czyzna,1983-07-10,ulica Przemys³owa 10 35-518 Ko³obrzeg
297,Tymon,Ziarno,mê¿czyzna,1995-02-23,aleja Wysoka 49 25-509 ¯ywiec
298,Arkadiusz,Go³oœ,mê¿czyzna,1996-01-03,ul. Narutowicza 94 59-165 Jarocin
299,Filip,Strawa,mê¿czyzna,2001-02-10,pl. Kaliska 442 23-016 Che³m
300,Marek,Klyszcz,mê¿czyzna,1985-07-01,ulica Dworcowa 87 63-597 Zawiercie
301,Leonard,Korbut,mê¿czyzna,1998-12-19,al. Z³ota 55 88-999 Bi³goraj
302,Miko³aj,Sobków,mê¿czyzna,1999-06-12,aleja Dobra 260 57-705 Marki
303,Julianna,Henke,kobieta,1997-09-04,ul. Zamkowa 92 57-327 Œrem
304,Kamila,Baka,kobieta,1986-06-15,aleja Brzozowa 75 36-366 Police
305,Ryszard,Boruc,mê¿czyzna,2002-08-09,al. Grzybowa 137 02-627 Krotoszyn
306,Anita,Piersa,kobieta,2003-07-08,ul. Okulickiego 78/12 06-203 Gliwice
307,Tymoteusz,Rogula,mê¿czyzna,1997-05-28,aleja Orzechowa 46 17-433 Ostrowiec Œwiêtokrzyski
308,Jeremi,Chojak,mê¿czyzna,1986-09-27,plac Pomorska 76 49-927 Lublin
309,Sylwia,Bryczek,kobieta,2001-08-26,plac Bema 93/72 28-826 Starachowice
310,Norbert,Wiencek,mê¿czyzna,1984-12-24,ulica Brzozowa 558 52-327 Ruda Œl¹ska
311,Szymon,Snoch,mê¿czyzna,1987-03-22,ulica Wodna 25/48 47-151 Goleniów
312,Sandra,Topa,kobieta,1994-07-31,plac Letniskowa 489 39-855 Tychy
313,Roksana,Szmajda,kobieta,1998-08-07,ul. Harcerska 650 96-854 Bydgoszcz
314,Natasza,Kolanek,kobieta,1998-04-06,al. Fredry 358 60-023 Wroc³aw
315,Borys,£aszczyk,mê¿czyzna,2002-04-17,al. Piwna 15/75 86-421 Brzeg
316,Roksana,Ko¿uszek,kobieta,2005-03-26,ul. Jaworowa 83 26-353 Gdynia
317,Mi³osz,Kamyk,mê¿czyzna,2002-02-08,aleja Lwowska 85 71-677 Chorzów
318,Anna Maria,Kuk,kobieta,1996-03-24,ul. Glówna 23/92 66-235 Zabrze
319,Dagmara,Kolbusz,kobieta,1987-05-02,ul. Podleœna 80 73-845 Gniezno
320,Krystyna,Marciñczyk,kobieta,2000-12-24,pl. Odrzañska 67/28 52-649 Zakopane
321,Szymon,Loska,mê¿czyzna,1985-03-14,ul. Czereœniowa 17 50-565 Marki
322,Ignacy,Flisiak,mê¿czyzna,1989-11-30,pl. Cedrowa 026 81-357 Kêdzierzyn-KoŸle
323,Micha³,Szaruga,mê¿czyzna,1998-10-12,al. Mieszka I 86 79-790 Grodzisk Mazowiecki
324,Patryk,Armata,mê¿czyzna,2001-11-11,ul. Morcinka 59/00 11-832 Lêbork
325,Kamila,Poczta,kobieta,2003-09-11,ulica Jana Sobieskiego 560 11-256 Œrem
326,Marika,£aœ,kobieta,1989-07-15,aleja Ksiê¿ycowa 90/43 77-935 Tomaszów Mazowiecki
327,Klara,Gustaw,kobieta,1992-02-03,ulica Torowa 726 16-670 Kwidzyn
328,Ida,Chwalisz,kobieta,1983-09-04,pl. Pocztowa 17 35-517 Pabianice
329,Julita,M³ot,kobieta,1990-12-20,aleja Górnicza 48 19-723 Sopot
330,Kajetan,Janiuk,mê¿czyzna,1994-03-10,plac Wierzbowa 25/58 22-869 Krotoszyn
331,Gaja,£apot,kobieta,2003-02-13,pl. Hallera 832 87-717 Jelenia Góra
332,Tobiasz,Nasiadka,mê¿czyzna,1989-09-19,ulica Jesionowa 67/88 48-995 O³awa
333,Kornelia,Bilewicz,kobieta,1992-07-16,al. Reymonta 343 85-045 Radom
334,Olgierd,Misiuk,mê¿czyzna,1999-06-29,ulica Boles³awa Chrobrego 625 19-634 Rzeszów
335,Rafa³,Henke,mê¿czyzna,1988-03-28,al. M³yñska 93/95 67-327 Knurów
336,Bartek,Bartoœ,mê¿czyzna,1999-01-31,ul. Promienna 104 46-205 Jarocin
337,Ida,Ga³at,kobieta,2005-03-16,ulica Go³êbia 75/56 48-346 Sochaczew
338,Ryszard,Gabryel,mê¿czyzna,1990-11-23,aleja B³êkitna 252 35-092 Nowa Sól
339,Eliza,Tworzyd³o,kobieta,1985-07-20,ul. Letniskowa 678 88-726 Zgorzelec
340,Natan,Buœko,mê¿czyzna,2004-07-25,al. Wiejska 76/98 49-832 P³oñsk
341,Jeremi,Kobak,mê¿czyzna,1994-07-19,ul. ¯ytnia 17/60 31-429 Gliwice
342,Fryderyk,Kuder,mê¿czyzna,1998-12-21,ulica Skargi 857 54-015 Zabrze
343,Lidia,Melcer,kobieta,1988-02-01,al. Konarskiego 48 44-090 Kalisz
344,Kamil,Waluk,mê¿czyzna,1988-06-14,al. Podleœna 84/32 60-173 Bêdzin
345,Wiktor,Litwiñczuk,mê¿czyzna,2003-12-18,aleja Stolarska 72 46-438 Bia³ogard
346,Szymon,B¹kiewicz,mê¿czyzna,1990-04-02,pl. Staffa 04/73 76-031 Che³m
347,Rozalia,Dyœ,kobieta,1985-05-18,al. Lipowa 73 25-261 Jastrzêbie-Zdrój
348,Andrzej,Rubin,mê¿czyzna,1987-06-05,plac Stra¿acka 197 71-590 Lubin
349,Jerzy,Sieczko,mê¿czyzna,1984-01-20,al. S³owackiego 64 35-055 £uków
350,Aleksander,Hejduk,mê¿czyzna,1986-05-26,ul. Staffa 581 45-164 Chojnice
351,Ewelina,£asak,kobieta,1989-07-22,aleja Pó³nocna 69/54 45-392 Ruda Œl¹ska
352,Borys,Michel,mê¿czyzna,1983-02-03,ul. Brzoskwiniowa 60 51-244 Olkusz
353,Eryk,Lulek,mê¿czyzna,1986-04-18,ulica £abêdzia 44/06 59-830 Sosnowiec
354,Kornel,Wawrzyk,mê¿czyzna,1986-01-19,al. Malinowa 993 08-532 Wieluñ
355,Sonia,¯elazek,kobieta,1997-04-28,plac Korfantego 063 72-553 D¹browa Górnicza
356,Bartek,Zbylut,mê¿czyzna,1993-07-03,aleja D³uga 08/67 75-359 Brodnica
357,Anna Maria,Manista,kobieta,1992-03-16,plac £¹czna 45/88 79-129 Ciechanów
358,Roksana,Pleœniak,kobieta,1986-10-31,ul. Piwna 50 84-843 Elbl¹g
359,Klara,Drobot,kobieta,2004-12-22,ul. Lazurowa 92/34 88-111 Ciechanów
360,Artur,Fo³ta,mê¿czyzna,1989-01-14,al. Ma³a 57 65-306 Racibórz
361,Monika,Lenarcik,kobieta,2004-11-13,ul. Konwaliowa 80 89-129 Olkusz
362,Marcin,Goss,mê¿czyzna,1994-12-30,al. W¹ska 38/71 19-191 Szczecinek
363,Gustaw,Florian,mê¿czyzna,2005-11-17,plac Sk³adowa 80/47 50-942 W¹growiec
364,Eliza,£aszcz,kobieta,1996-01-21,al. ródlana 352 57-753 Bia³a Podlaska
365,Bruno,Kornak,mê¿czyzna,1994-07-29,plac Wiosenna 11 77-856 Brodnica
366,Miko³aj,Kapciak,mê¿czyzna,1994-08-22,pl. Borówkowa 984 95-456 Kêdzierzyn-KoŸle
367,Mateusz,Bona,mê¿czyzna,1989-05-12,ulica Sosnowa 207 32-532 Gorzów Wielkopolski
368,Urszula,Dobrosz,kobieta,2000-01-28,ul. Przechodnia 32 79-253 Marki
369,Rados³aw,Janoszka,mê¿czyzna,2001-12-04,al. G³owackiego 11/47 98-930 Wo³omin
370,Justyna,Mikosz,kobieta,1996-06-19,pl. Wojska Polskiego 467 01-215 Konin
371,Emil,Szygu³a,mê¿czyzna,1993-08-15,aleja Zachodnia 042 17-868 Tarnobrzeg
372,Anna Maria,Faruga,kobieta,1998-10-31,al. Grunwaldzka 70 51-108 Bochnia
373,Karina,Chachaj,kobieta,1997-08-31,ulica Hallera 75 37-559 Nowy Dwór Mazowiecki
374,Emil,Smoter,mê¿czyzna,2000-08-22,ul. Spó³dzielcza 80 93-255 Lubartów
375,Bianka,¯ybura,kobieta,1991-06-21,plac Wyszyñskiego 750 35-831 Lubin
376,Robert,Niewola,mê¿czyzna,2003-03-17,ul. Korfantego 197 11-234 Szczytno
377,Eliza,Westfal,kobieta,2003-10-13,al. Towarowa 845 46-419 Zambrów
378,Pawe³,Drywa,mê¿czyzna,1991-04-17,aleja Powstañców Wielkopolskich 550 09-960 ¯yrardów
379,Krystyna,Schubert,kobieta,1986-01-28,aleja S³onecznikowa 377 05-357 Skawina
380,Kajetan,Skrzecz,mê¿czyzna,1993-04-14,al. W¹ska 15/42 93-721 Szczecin
381,Ryszard,Kubiaczyk,mê¿czyzna,1989-11-14,pl. Szpitalna 259 59-930 Myszków
382,Roksana,Fita,kobieta,1988-02-13,pl. Spacerowa 42 11-755 Kalisz
383,Oliwier,Porzucek,mê¿czyzna,1997-05-20,aleja Asnyka 15 43-346 Legionowo
384,Emil,Dzwonnik,mê¿czyzna,1993-09-21,pl. Poniatowskiego 65/72 91-589 Œwinoujœcie
385,Adam,Dering,mê¿czyzna,1989-08-12,ul. Partyzantów 26/86 32-364 Warszawa
386,Aleksander,£achut,mê¿czyzna,1990-04-30,al. Wrzosowa 96/28 84-261 W³oc³awek
387,Micha³,Królczyk,mê¿czyzna,1992-11-02,pl. Sarnia 72/42 48-320 Rybnik
388,Eliza,Kosa³ka,kobieta,1999-12-30,al. Wiœlana 40 94-871 Œwidnica
389,Anastazja,Olchawa,kobieta,1997-08-31,plac Lisia 45/45 85-276 W¹growiec
390,El¿bieta,Kuffel,kobieta,1985-06-10,aleja Jastrzêbia 60 10-678 Wa³cz
391,Dawid,Krêcichwost,mê¿czyzna,1996-08-23,al. Radosna 740 74-865 £aziska Górne
392,Hubert,Rychel,mê¿czyzna,1996-05-17,al. Moniuszki 519 45-566 £ódŸ
393,Julianna,Pastu³a,kobieta,1990-07-10,al. Urocza 59/37 34-259 Ruda Œl¹ska
394,Eliza,Muc,kobieta,1997-01-30,ul. Turystyczna 56 70-182 Radom
395,Stefan,Fiedoruk,mê¿czyzna,1989-07-27,ulica Chmielna 37/19 57-394 Kêtrzyn
396,Alex,Hamerla,mê¿czyzna,1999-02-18,al. Œrednia 125 55-963 Toruñ
397,Leonard,Laskus,mê¿czyzna,1985-11-28,ul. Klonowa 846 07-592 Stargard Szczeciñski
398,Kamil,Wojewódka,mê¿czyzna,1983-11-17,ulica Konwaliowa 66/09 91-124 Czerwionka-Leszczyny
399,Nikodem,Magryta,mê¿czyzna,1999-06-20,plac Morcinka 10/94 42-644 £owicz
400,Stefan,Kiryluk,mê¿czyzna,1994-05-31,ulica ¯eglarska 20/56 27-086 Gdynia
401,Malwina,Kuffel,kobieta,1988-06-11,ul. Dzia³kowa 55 99-296 Zduñska Wola
402,Filip,Szyku³a,mê¿czyzna,1992-10-20,aleja Orla 90/07 15-757 Czêstochowa
403,Nela,Hejduk,kobieta,1992-03-10,ul. Poznañska 97 15-077 Piastów
404,Kornel,Cyroñ,mê¿czyzna,1986-10-06,plac Prosta 39 29-788 Gdynia
405,Artur,Kuszyk,mê¿czyzna,1994-01-09,plac Mickiewicza 500 16-249 Radom
406,Maksymilian,Mueller,mê¿czyzna,1995-08-29,ulica Traugutta 123 29-288 Wejherowo
407,Karina,Wyrostek,kobieta,1984-08-03,ulica Rajska 942 78-927 Sopot
408,Kajetan,Berek,mê¿czyzna,1984-04-29,al. Wodna 242 45-842 Dêbica
409,Dariusz,Staniaszek,mê¿czyzna,1983-05-25,al. Handlowa 707 61-283 Katowice
410,Marcel,Szymanik,mê¿czyzna,1983-01-24,aleja Zakole 28 07-430 Siemianowice Œl¹skie
411,Nataniel,Grupa,mê¿czyzna,1993-08-23,ul. Borowa 55 22-721 Goleniów
412,Justyna,Jarczyk,kobieta,1997-07-08,pl. Srebrna 86/59 40-156 Zamoœæ
413,Franciszek,Macias,mê¿czyzna,1994-07-15,ulica Cegielniana 42/95 63-263 Wa³brzych
414,Przemys³aw,Bodek,mê¿czyzna,1984-06-26,plac Poziomkowa 65 79-541 Nowy S¹cz
415,Urszula,Dywan,kobieta,1994-10-02,al. Hutnicza 31/08 50-930 Kraków
416,Jan,Wolan,mê¿czyzna,1983-02-24,al. Lipowa 483 18-611 Gorzów Wielkopolski
417,Sonia,Powa³a,kobieta,1992-01-08,al. Krasiñskiego 05 07-288 Grodzisk Mazowiecki
418,Leonard,Koœciesza,mê¿czyzna,1992-06-20,al. Glówna 26/49 29-194 Grodzisk Mazowiecki
419,Mi³osz,RaŸny,mê¿czyzna,1990-06-09,al. Wyspiañskiego 92/48 49-406 Jas³o
420,Kajetan,Windak,mê¿czyzna,1990-09-26,pl. Zamkowa 98 07-093 £om¿a
421,Gustaw,Je¿yk,mê¿czyzna,2005-07-13,aleja Na³kowskiej 08 07-792 ¯yrardów
422,Tobiasz,Zio³a,mê¿czyzna,1997-07-21,ulica Brzoskwiniowa 54 59-787 Sopot
423,Witold,B³aziak,mê¿czyzna,1995-10-14,ulica Toruñska 81 76-124 Bartoszyce
424,Ida,Jop,kobieta,1984-05-04,ulica Truskawkowa 574 57-504 Olsztyn
425,Nicole,Strz¹da³a,mê¿czyzna,2005-08-10,plac Skoœna 95 58-448 Sieradz
426,Maksymilian,Opio³a,mê¿czyzna,1992-06-16,ul. Dworcowa 739 41-106 Siedlce
427,Witold,Dorobek,mê¿czyzna,1984-12-05,pl. Lawendowa 28/51 62-819 Grudzi¹dz
428,Marianna,Grabias,kobieta,2005-01-27,plac Maczka 26/13 03-940 Opole
429,Tymon,Wawszczak,mê¿czyzna,1983-06-14,ulica Krasickiego 190 80-186 Bia³ystok
430,Oskar,Kosno,mê¿czyzna,1984-05-09,pl. Swierkowa 94/92 91-224 Nowy Dwór Mazowiecki
431,Anna Maria,Adamiuk,kobieta,1993-03-05,al. £abêdzia 02/05 26-853 Katowice
432,Alex,£uczyk,mê¿czyzna,1990-06-27,plac Krzywa 195 15-800 Pruszków
433,Natan,Cyganik,mê¿czyzna,1993-04-18,aleja Cyprysowa 588 99-296 Racibórz
434,Malwina,Mielke,kobieta,1990-07-10,pl. Witosa 54/22 54-876 Kwidzyn
435,Roksana,Jurczuk,kobieta,1996-07-13,ulica Wi¹zowa 92/39 94-668 Starogard Gdañski
436,Mieszko,Przekwas,mê¿czyzna,1985-06-09,ulica Wa³owa 815 79-155 Rzeszów
437,Tola,Pacho³ek,kobieta,1998-12-17,ul. Waryñskiego 02/60 06-022 Jas³o
438,Liwia,Mleczak,kobieta,1989-03-27,aleja Podleœna 925 16-495 Przemyœl
439,Julian,Józefczak,mê¿czyzna,2004-09-19,ulica Lipca 98/93 84-241 Nowy Targ
440,Kazimierz,Jenek,mê¿czyzna,1997-02-24,pl. Kosynierów 017 01-154 Gorzów Wielkopolski
441,Leon,Uziêb³o,mê¿czyzna,1987-04-22,al. Radosna 61 03-270 Bielawa
442,Kornelia,Suda,kobieta,2000-06-25,plac Letnia 76/68 99-765 Jaros³aw
443,Apolonia,Gronkiewicz,kobieta,1992-07-10,ulica Pocztowa 531 57-317 Starachowice
444,Marcin,Ros³on,mê¿czyzna,1991-02-04,ul. Wybickiego 69/55 36-512 Kielce
445,Dorota,Kloch,kobieta,1994-01-08,pl. Ceglana 508 10-177 Zduñska Wola
446,Bianka,Wabik,kobieta,2005-09-07,plac Lawendowa 563 44-782 Jawor
447,Jan,Golan,mê¿czyzna,2000-04-17,pl. Truskawkowa 245 81-752 Toruñ
448,Monika,Tomal,kobieta,1997-01-21,pl. Okrê¿na 03/12 68-758 ¯ory
449,Sylwia,Jakóbiak,kobieta,1997-02-11,ulica Turystyczna 28/31 60-493 Œwiebodzice
450,Witold,Miara,mê¿czyzna,1991-05-13,ul. Sokola 654 28-976 Czechowice-Dziedzice
451,Gaja,Bluszcz,kobieta,1993-07-03,plac Mickiewicza 28 15-665 Sieradz
452,Dorota,Siatka,kobieta,1988-04-03,pl. Storczykowa 81/45 08-997 Wa³brzych
453,Ró¿a,Wiza,kobieta,1992-04-21,ul. Tylna 72/45 25-449 Œroda Wielkopolska
454,Ida,Przekop,kobieta,1999-07-25,ulica Rajska 372 87-311 Mielec
455,Maciej,Brzêk,mê¿czyzna,2002-07-09,pl. Wschodnia 42 42-420 Wodzis³aw Œl¹ski
456,Kacper,Mieloch,mê¿czyzna,1994-06-09,ulica Poziomkowa 180 01-491 Katowice
457,Bruno,Bednarowicz,mê¿czyzna,1991-11-08,pl. Rzemieœlnicza 99 54-712 W³oc³awek
458,Fabian,Wiel¹dek,mê¿czyzna,1993-07-08,plac Cicha 44 27-903 Jas³o
459,Karol,Frania,mê¿czyzna,1989-09-03,ul. Hallera 18 59-758 Ostro³êka
460,Marianna,Wojaczek,kobieta,1994-01-21,aleja Nadbrze¿na 93 39-493 Jastrzêbie-Zdrój
461,Maksymilian,Michniak,mê¿czyzna,1989-06-07,pl. Jarzêbinowa 54/07 73-096 £om¿a
462,Bianka,Œwigoñ,kobieta,2001-05-17,ulica Willowa 254 87-139 Bielawa
463,Jerzy,Stachelek,mê¿czyzna,1984-07-17,plac Ksiê¿ycowa 35/11 48-917 Jaros³aw
464,Aniela,Sykut,kobieta,2000-05-15,al. Niepodleg³oœci 53 21-462 Nowy S¹cz
465,Piotr,Kuciak,mê¿czyzna,2005-01-01,aleja Wysoka 530 64-897 Œrem
466,Konstanty,Kral,mê¿czyzna,1999-10-29,ul. Skrajna 87 27-533 Bydgoszcz
467,Ewa,Cyba,kobieta,1985-05-31,al. Koralowa 937 10-042 Nowa Sól
468,Bartek,Pich,mê¿czyzna,1998-05-05,ul. Rózana 49/59 77-339 £aziska Górne
469,Dariusz,Kiwior,mê¿czyzna,1985-02-22,ulica Morska 37/15 87-904 Myszków
470,Ida,Andziak,kobieta,1994-01-06,ul. Radosna 698 14-798 E³k
471,Gaja,G³uszko,kobieta,1997-09-06,plac ¯eglarska 64 11-987 Gliwice
472,Maks,Merda,mê¿czyzna,1989-04-22,ulica Weso³a 527 85-727 Z¹bki
473,Karina,Szeja,kobieta,2004-09-04,aleja Norwida 24/15 03-861 Pabianice
474,Bianka,Bejma,kobieta,2005-06-16,ul. Partyzantów 27/96 92-764 Opole
475,Kamila,Kononowicz,kobieta,1993-07-22,al. Pla¿owa 394 29-976 Ko³o
476,Ada,Poczta,kobieta,1998-02-01,aleja Boles³awa Krzywoustego 275 04-076 Jelenia Góra
477,Olgierd,Józwik,mê¿czyzna,2000-08-18,aleja Cyprysowa 48/56 95-688 Pruszków
478,Jeremi,Paleñ,mê¿czyzna,1988-11-02,aleja Kusociñskiego 93/23 85-084 Zambrów
479,Pawe³,Citko,mê¿czyzna,1997-05-20,ul. £¹kowa 794 30-614 Koœcierzyna
480,Nikodem,Parafiniuk,mê¿czyzna,2001-05-14,ul. G³owackiego 010 57-833 Œwiêtoch³owice
481,Karina,Koæwin,kobieta,1999-08-21,ul. Lipca 10/81 64-708 Czerwionka-Leszczyny
482,Antoni,Hrynkiewicz,mê¿czyzna,2000-12-15,al. Stolarska 873 24-223 Inowroc³aw
483,Oliwier,Bacia,mê¿czyzna,1998-01-17,al. Stolarska 911 11-626 Toruñ
484,Wiktor,Borczyk,mê¿czyzna,2000-09-13,plac Wróblewskiego 96 02-577 Kutno
485,Micha³,Olko,mê¿czyzna,1993-06-19,ul. Ko³³¹taja 781 36-190 Piaseczno
486,Justyna,Kurz,kobieta,1999-03-28,plac Daszyñskiego 187 57-503 Pabianice
487,Krystyna,Ko³aczyk,kobieta,1999-06-02,ulica Hallera 02 85-870 Tychy
488,Artur,Szok,mê¿czyzna,1984-11-09,ulica £¹kowa 291 29-324 I³awa
489,Fabian,Brz¹ka³a,mê¿czyzna,2002-12-02,ulica Boles³awa Chrobrego 31/52 77-209 Jarocin
490,Albert,Kapcia,mê¿czyzna,1997-02-08,al. Mi³a 203 28-686 Konin
491,Filip,Wrochna,mê¿czyzna,1987-08-12,ul. Ga³czynskiego 720 51-760 Mys³owice
492,Konstanty,Œledzik,mê¿czyzna,1992-09-17,plac Jaworowa 95/29 50-715 Tarnów
493,Tymon,Ciechowicz,mê¿czyzna,1989-12-13,al. Spacerowa 373 59-142 P³ock
494,Kaja,Trzpil,kobieta,2001-11-11,ul. G³owackiego 89 77-816 Pruszcz Gdañski
495,Ksawery,Miœko,mê¿czyzna,1990-05-18,ulica Srebrna 77/17 46-621 Miñsk Mazowiecki
496,Iwo,Skup,mê¿czyzna,1996-05-30,ul. Kusociñskiego 31/66 48-156 Lubliniec
497,Hubert,Nawrotek,mê¿czyzna,1985-05-16,ulica Okrê¿na 78 78-479 Kêdzierzyn-KoŸle
498,Marcelina,Kud³acz,kobieta,1990-10-13,al. Maja 94/51 88-557 Polkowice
499,El¿bieta,Cich,kobieta,1992-10-17,plac G³ogowa 25 72-424 Zamoœæ
500,Cyprian,Obuchowicz,mê¿czyzna,1998-05-11,aleja Wojciecha 39 95-225 Siemianowice Œl¹skie
501,Marcin,Kordys,mê¿czyzna,1993-12-13,plac Daleka 85 10-920 Dzier¿oniów
502,Nataniel,Banachowicz,mê¿czyzna,1991-08-11,ulica Dworska 39 44-249 Jaworzno
503,Julita,Keler,kobieta,1985-02-21,pl. ¯eromskiego 77/30 42-346 Stalowa Wola
504,Sebastian,Kosiec,mê¿czyzna,1994-11-24,plac Wa³owa 15/04 82-136 Gdynia
505,Filip,Geisler,mê¿czyzna,2001-05-10,plac Têczowa 98/20 65-967 £ódŸ
506,Alex,Karmelita,mê¿czyzna,1991-11-06,plac Opolska 71 04-029 E³k
507,Dagmara,Jereczek,kobieta,1984-11-18,plac Wysoka 52/91 95-936 Tomaszów Mazowiecki
508,Julita,Morek,kobieta,1988-10-18,al. S³onecznikowa 920 70-605 Lublin
509,Marcel,Jodko,mê¿czyzna,1992-12-08,ul. Szymanowskiego 401 30-549 Tarnobrzeg
510,Jeremi,Smela,mê¿czyzna,1993-06-05,plac Jadwigi 67 55-764 Zduñska Wola
511,Maciej,Oleksiewicz,mê¿czyzna,1998-10-17,ulica Krañcowa 462 83-490 Ostro³êka
512,Kacper,Ciu³a,mê¿czyzna,1992-08-12,ul. Rzeczna 54 42-528 Nowy Dwór Mazowiecki
513,Sonia,Ba³dys,kobieta,2002-12-20,ul. Sybiraków 13 29-192 S³upsk
514,Adam,Lepak,mê¿czyzna,2002-07-07,al. Fio³kowa 38 47-368 D¹browa Górnicza
515,Monika,Loska,kobieta,1986-01-24,ulica Jaworowa 841 18-635 Sosnowiec
516,Janina,W¹sek,kobieta,1983-01-10,plac Prosta 34/20 59-146 Œwiebodzice
517,Leon,Koœcik,mê¿czyzna,1994-07-21,ulica Targowa 344 62-477 Oleœnica
518,Wojciech,Kraszkiewicz,mê¿czyzna,1989-02-13,ul. Œl¹ska 26 75-130 Sopot
519,Maurycy,Kazberuk,mê¿czyzna,1991-02-11,pl. Turkusowa 66/36 66-130 Knurów
520,Eryk,Litwa,mê¿czyzna,1997-12-19,aleja Czarnieckiego 860 94-956 Czechowice-Dziedzice
521,Kalina,Hulbój,kobieta,1986-02-23,ulica £anowa 65/14 62-683 Warszawa
522,Aniela,Radzewicz,kobieta,2003-09-10,al. Ja³owcowa 81 26-122 Malbork
523,Piotr,Troæ,mê¿czyzna,2003-01-06,ul. Hutnicza 165 04-743 Ostrowiec Œwiêtokrzyski
524,Ida,Tabisz,kobieta,1994-06-02,ulica Drzyma³y 93/77 94-906 ¯yrardów
525,Marcel,Wa³êsa,mê¿czyzna,1994-04-21,plac Miarki 61 06-084 Kielce
526,Adam,Bryzek,mê¿czyzna,2003-04-22,plac Zak¹tek 22/68 13-721 Gliwice
527,Justyna,Waraksa,kobieta,2001-09-03,ulica Krzywa 81/86 49-517 Legionowo
528,Bruno,Gryga,mê¿czyzna,1983-04-30,aleja Pi³sudskiego 20 55-277 Olkusz
529,Maks,Kiedrowicz,mê¿czyzna,2004-01-24,ulica Dworcowa 083 16-150 Mys³owice
530,Olga,B³a¿ejak,kobieta,2003-02-14,pl. Jana Sobieskiego 64 57-152 Olsztyn
531,Apolonia,Grabas,kobieta,1994-09-08,aleja Krañcowa 77/23 44-419 Tychy
532,Kornel,Szaj,mê¿czyzna,2000-05-09,ulica Wyzwolenia 216 31-496 Ostrów Mazowiecka
533,Mieszko,Maszota,mê¿czyzna,1993-06-29,ulica Partyzantów 44/24 57-679 Olsztyn
534,Olaf,Kinder,mê¿czyzna,1995-07-19,pl. Piastowska 79 10-237 Zgorzelec
535,Maciej,Lemanowicz,mê¿czyzna,2005-03-15,al. Nadrzeczna 68/86 67-916 Kwidzyn
536,Marcin,Karkocha,mê¿czyzna,1990-03-04,ulica S³owackiego 069 96-343 Z¹bki
537,Sylwia,Giers,kobieta,1999-01-15,ulica Wierzbowa 041 48-346 Zambrów
538,Kalina,Hanzel,kobieta,1993-05-17,aleja Têczowa 468 10-490 Sandomierz
539,Sandra,Czerepak,kobieta,2000-02-01,ulica Spacerowa 37/30 26-302 Pruszcz Gdañski
